database_run_id,position_id,queue_ordinal,pass_number,group,classification,cp_loss,expected_points_loss,dataset_split,pass_status,pass_error,langsmith_trace_id,langsmith_llm_run_id,langsmith_url,forced_retry,developer_prompt_sha256,all_match_checks_passed,response_status,request_characters,assistant_text_characters,exposed_reasoning_characters
39a27352-b3c3-4069-9fed-923f4a8a52f9,4d7fc789-d690-532e-8b1c-5de714e779a1,manual,1,best/excellent/good,best,0,0.0,train,completed,,01a0cc75-267a-7091-9281-5ffec8521b1c,01a0cc75-2750-7d91-9488-b9d6442fedc5,https://smith.langchain.com/o/f737b7dd-6e97-420d-ac1b-32d2ba8151dc/projects/p/44268025-cf8d-4314-a3b1-7c9542c19c4c/r/01a0cc75-2750-7d91-9488-b9d6442fedc5?trace_id=01a0cc75-267a-7091-9281-5ffec8521b1c&start_time=2026-09-23T04:10:24.976283,False,306b4f84fa153fd33a97318ef124444472b5477e0c9bc2c8bcb1121e457da9b6,True,completed,16059,1081,4404
39a27352-b3c3-4069-9fed-923f4a8a52f9,4d7fc789-d690-532e-8b1c-5de714e779a1,manual,2,best/excellent/good,best,0,0.0,train,completed,,01a0cc75-267a-7091-9281-5ffec8521b1c,01a0cc75-de34-7bb1-9be0-40fc77583696,https://smith.langchain.com/o/f737b7dd-6e97-420d-ac1b-32d2ba8151dc/projects/p/44268025-cf8d-4314-a3b1-7c9542c19c4c/r/01a0cc75-de34-7bb1-9be0-40fc77583696?trace_id=01a0cc75-267a-7091-9281-5ffec8521b1c&start_time=2026-09-23T04:11:11.796327,False,306b4f84fa153fd33a97318ef124444472b5477e0c9bc2c8bcb1121e457da9b6,True,completed,18022,1769,4539
39a27352-b3c3-4069-9fed-923f4a8a52f9,4d7fc789-d690-532e-8b1c-5de714e779a1,manual,3,best/excellent/good,best,0,0.0,train,completed,,01a0cc75-267a-7091-9281-5ffec8521b1c,01a0cc76-9787-7893-b633-3a8876738740,https://smith.langchain.com/o/f737b7dd-6e97-420d-ac1b-32d2ba8151dc/projects/p/44268025-cf8d-4314-a3b1-7c9542c19c4c/r/01a0cc76-9787-7893-b633-3a8876738740?trace_id=01a0cc75-267a-7091-9281-5ffec8521b1c&start_time=2026-09-23T04:11:59.239429,False,306b4f84fa153fd33a97318ef124444472b5477e0c9bc2c8bcb1121e457da9b6,True,completed,18957,1656,6141
39a27352-b3c3-4069-9fed-923f4a8a52f9,4d7fc789-d690-532e-8b1c-5de714e779a1,manual,4,best/excellent/good,best,0,0.0,train,completed,,01a0cc75-267a-7091-9281-5ffec8521b1c,01a0cc77-4357-78b0-bf4f-daa584e8c671,https://smith.langchain.com/o/f737b7dd-6e97-420d-ac1b-32d2ba8151dc/projects/p/44268025-cf8d-4314-a3b1-7c9542c19c4c/r/01a0cc77-4357-78b0-bf4f-daa584e8c671?trace_id=01a0cc75-267a-7091-9281-5ffec8521b1c&start_time=2026-09-23T04:12:43.223605,False,306b4f84fa153fd33a97318ef124444472b5477e0c9bc2c8bcb1121e457da9b6,True,completed,18931,1622,4855
17c268cb-c5ee-4283-a0be-e058c181ef42,01dc9992-edb8-5f15-8c34-866113fad2b7,3,1,best/excellent/good,best,0,0.0,test,completed,,01a0ccf9-2ae5-7433-ac1b-fcd54dcfcb3a,01a0ccf9-2b65-7f12-b5af-9317ed3fcf51,https://smith.langchain.com/o/f737b7dd-6e97-420d-ac1b-32d2ba8151dc/projects/p/44268025-cf8d-4314-a3b1-7c9542c19c4c/r/01a0ccf9-2b65-7f12-b5af-9317ed3fcf51?trace_id=01a0ccf9-2ae5-7433-ac1b-fcd54dcfcb3a&start_time=2026-09-23T06:34:36.773312,False,306b4f84fa153fd33a97318ef124444472b5477e0c9bc2c8bcb1121e457da9b6,True,completed,16003,441,4369
17c268cb-c5ee-4283-a0be-e058c181ef42,01dc9992-edb8-5f15-8c34-866113fad2b7,3,2,best/excellent/good,best,0,0.0,test,completed,,01a0ccf9-2ae5-7433-ac1b-fcd54dcfcb3a,01a0ccf9-ba7a-78a2-baf2-6ea115e1c5b6,https://smith.langchain.com/o/f737b7dd-6e97-420d-ac1b-32d2ba8151dc/projects/p/44268025-cf8d-4314-a3b1-7c9542c19c4c/r/01a0ccf9-ba7a-78a2-baf2-6ea115e1c5b6?trace_id=01a0ccf9-2ae5-7433-ac1b-fcd54dcfcb3a&start_time=2026-09-23T06:35:13.402375,False,306b4f84fa153fd33a97318ef124444472b5477e0c9bc2c8bcb1121e457da9b6,True,completed,16345,984,4758
17c268cb-c5ee-4283-a0be-e058c181ef42,01dc9992-edb8-5f15-8c34-866113fad2b7,3,3,best/excellent/good,best,0,0.0,test,failed,A tool batch may contain at most one board-mutating call.,01a0ccf9-2ae5-7433-ac1b-fcd54dcfcb3a,01a0ccfa-5b08-7e30-9084-4d09d2b87f79,https://smith.langchain.com/o/f737b7dd-6e97-420d-ac1b-32d2ba8151dc/projects/p/44268025-cf8d-4314-a3b1-7c9542c19c4c/r/01a0ccfa-5b08-7e30-9084-4d09d2b87f79?trace_id=01a0ccf9-2ae5-7433-ac1b-fcd54dcfcb3a&start_time=2026-09-23T06:35:54.504475,False,306b4f84fa153fd33a97318ef124444472b5477e0c9bc2c8bcb1121e457da9b6,True,completed,17703,1213,5101
17c268cb-c5ee-4283-a0be-e058c181ef42,01dc9992-edb8-5f15-8c34-866113fad2b7,3,4,best/excellent/good,best,0,0.0,test,completed,,01a0ccf9-2ae5-7433-ac1b-fcd54dcfcb3a,01a0ccfb-0439-7d12-87f3-d364cf50c703,https://smith.langchain.com/o/f737b7dd-6e97-420d-ac1b-32d2ba8151dc/projects/p/44268025-cf8d-4314-a3b1-7c9542c19c4c/r/01a0ccfb-0439-7d12-87f3-d364cf50c703?trace_id=01a0ccf9-2ae5-7433-ac1b-fcd54dcfcb3a&start_time=2026-09-23T06:36:37.817615,True,306b4f84fa153fd33a97318ef124444472b5477e0c9bc2c8bcb1121e457da9b6,True,completed,25357,1151,0
17c268cb-c5ee-4283-a0be-e058c181ef42,01dc9992-edb8-5f15-8c34-866113fad2b7,3,5,best/excellent/good,best,0,0.0,test,completed,,01a0ccf9-2ae5-7433-ac1b-fcd54dcfcb3a,01a0ccfb-1e84-7b60-8664-7671bc3c1d05,https://smith.langchain.com/o/f737b7dd-6e97-420d-ac1b-32d2ba8151dc/projects/p/44268025-cf8d-4314-a3b1-7c9542c19c4c/r/01a0ccfb-1e84-7b60-8664-7671bc3c1d05?trace_id=01a0ccf9-2ae5-7433-ac1b-fcd54dcfcb3a&start_time=2026-09-23T06:36:44.548269,False,306b4f84fa153fd33a97318ef124444472b5477e0c9bc2c8bcb1121e457da9b6,True,completed,17184,1224,4584
17c268cb-c5ee-4283-a0be-e058c181ef42,01dc9992-edb8-5f15-8c34-866113fad2b7,3,6,best/excellent/good,best,0,0.0,test,completed,,01a0ccf9-2ae5-7433-ac1b-fcd54dcfcb3a,01a0ccfb-c79c-7a12-8bea-2053bd82f325,https://smith.langchain.com/o/f737b7dd-6e97-420d-ac1b-32d2ba8151dc/projects/p/44268025-cf8d-4314-a3b1-7c9542c19c4c/r/01a0ccfb-c79c-7a12-8bea-2053bd82f325?trace_id=01a0ccf9-2ae5-7433-ac1b-fcd54dcfcb3a&start_time=2026-09-23T06:37:27.836756,False,306b4f84fa153fd33a97318ef124444472b5477e0c9bc2c8bcb1121e457da9b6,True,completed,18226,1468,4344
17c268cb-c5ee-4283-a0be-e058c181ef42,01dc9992-edb8-5f15-8c34-866113fad2b7,3,7,best/excellent/good,best,0,0.0,test,completed,,01a0ccf9-2ae5-7433-ac1b-fcd54dcfcb3a,01a0ccfc-6514-7a91-8c4e-ece9d53e8fce,https://smith.langchain.com/o/f737b7dd-6e97-420d-ac1b-32d2ba8151dc/projects/p/44268025-cf8d-4314-a3b1-7c9542c19c4c/r/01a0ccfc-6514-7a91-8c4e-ece9d53e8fce?trace_id=01a0ccf9-2ae5-7433-ac1b-fcd54dcfcb3a&start_time=2026-09-23T06:38:08.148051,False,306b4f84fa153fd33a97318ef124444472b5477e0c9bc2c8bcb1121e457da9b6,True,completed,18802,1513,4479
17c268cb-c5ee-4283-a0be-e058c181ef42,01dc9992-edb8-5f15-8c34-866113fad2b7,3,8,best/excellent/good,best,0,0.0,test,completed,,01a0ccf9-2ae5-7433-ac1b-fcd54dcfcb3a,01a0ccfd-0f5b-7ed0-9938-7500828ec8d2,https://smith.langchain.com/o/f737b7dd-6e97-420d-ac1b-32d2ba8151dc/projects/p/44268025-cf8d-4314-a3b1-7c9542c19c4c/r/01a0ccfd-0f5b-7ed0-9938-7500828ec8d2?trace_id=01a0ccf9-2ae5-7433-ac1b-fcd54dcfcb3a&start_time=2026-09-23T06:38:51.739662,False,306b4f84fa153fd33a97318ef124444472b5477e0c9bc2c8bcb1121e457da9b6,True,completed,19054,1494,4527
17c268cb-c5ee-4283-a0be-e058c181ef42,01dc9992-edb8-5f15-8c34-866113fad2b7,3,9,best/excellent/good,best,0,0.0,test,completed,,01a0ccf9-2ae5-7433-ac1b-fcd54dcfcb3a,01a0ccfd-bac0-79d2-b30c-2e089dc66528,https://smith.langchain.com/o/f737b7dd-6e97-420d-ac1b-32d2ba8151dc/projects/p/44268025-cf8d-4314-a3b1-7c9542c19c4c/r/01a0ccfd-bac0-79d2-b30c-2e089dc66528?trace_id=01a0ccf9-2ae5-7433-ac1b-fcd54dcfcb3a&start_time=2026-09-23T06:39:35.616458,False,306b4f84fa153fd33a97318ef124444472b5477e0c9bc2c8bcb1121e457da9b6,True,completed,19173,1243,5304
17c268cb-c5ee-4283-a0be-e058c181ef42,01dc9992-edb8-5f15-8c34-866113fad2b7,3,10,best/excellent/good,best,0,0.0,test,completed,,01a0ccf9-2ae5-7433-ac1b-fcd54dcfcb3a,01a0ccfe-5c4c-7cb3-a93a-50c9326d7c6c,https://smith.langchain.com/o/f737b7dd-6e97-420d-ac1b-32d2ba8151dc/projects/p/44268025-cf8d-4314-a3b1-7c9542c19c4c/r/01a0ccfe-5c4c-7cb3-a93a-50c9326d7c6c?trace_id=01a0ccf9-2ae5-7433-ac1b-fcd54dcfcb3a&start_time=2026-09-23T06:40:16.972542,False,306b4f84fa153fd33a97318ef124444472b5477e0c9bc2c8bcb1121e457da9b6,True,completed,19204,1490,5000
17c268cb-c5ee-4283-a0be-e058c181ef42,01dc9992-edb8-5f15-8c34-866113fad2b7,3,11,best/excellent/good,best,0,0.0,test,failed,Response must contain exactly one complete <agent_tool_calls> block.,01a0ccf9-2ae5-7433-ac1b-fcd54dcfcb3a,01a0ccff-0bbf-7e02-858d-7365db010b3d,https://smith.langchain.com/o/f737b7dd-6e97-420d-ac1b-32d2ba8151dc/projects/p/44268025-cf8d-4314-a3b1-7c9542c19c4c/r/01a0ccff-0bbf-7e02-858d-7365db010b3d?trace_id=01a0ccf9-2ae5-7433-ac1b-fcd54dcfcb3a&start_time=2026-09-23T06:41:01.887796,False,306b4f84fa153fd33a97318ef124444472b5477e0c9bc2c8bcb1121e457da9b6,True,completed,19516,1844,4613
17c268cb-c5ee-4283-a0be-e058c181ef42,01dc9992-edb8-5f15-8c34-866113fad2b7,3,12,best/excellent/good,best,0,0.0,test,completed,,01a0ccf9-2ae5-7433-ac1b-fcd54dcfcb3a,01a0ccff-b9de-7d91-a02d-f51b83df0a4a,https://smith.langchain.com/o/f737b7dd-6e97-420d-ac1b-32d2ba8151dc/projects/p/44268025-cf8d-4314-a3b1-7c9542c19c4c/r/01a0ccff-b9de-7d91-a02d-f51b83df0a4a?trace_id=01a0ccf9-2ae5-7433-ac1b-fcd54dcfcb3a&start_time=2026-09-23T06:41:46.462670,True,306b4f84fa153fd33a97318ef124444472b5477e0c9bc2c8bcb1121e457da9b6,True,completed,27318,2049,0
